"apt1_apt_name" "apt2_apt_name" "total_pax_tp" "grp_name" "apt1_id" "apt2_id"
"1" "GATWICK" "ABERDEEN" 173231 "London Area Airports" 0 6
"2" "GATWICK" "BELFAST CITY (GEORGE BEST)" 406464 "London Area Airports" 0 10
"3" "GATWICK" "BELFAST INTERNATIONAL" 385696 "London Area Airports" 0 11
"4" "GATWICK" "BLACKPOOL" 99 "London Area Airports" 0 15
"5" "GATWICK" "CARDIFF WALES" 41 "London Area Airports" 0 20
"6" "GATWICK" "CITY OF DERRY (EGLINTON)" 203 "London Area Airports" 0 21
"7" "GATWICK" "DONCASTER SHEFFIELD" 0 "London Area Airports" 0 22
"8" "GATWICK" "DURHAM TEES VALLEY" 73 "London Area Airports" 0 24
"9" "GATWICK" "EAST MIDLANDS INTERNATIONAL" 0 "London Area Airports" 0 25
"10" "GATWICK" "EDINBURGH" 693686 "London Area Airports" 0 27
"11" "GATWICK" "GLASGOW" 606263 "London Area Airports" 0 33
"12" "GATWICK" "GUERNSEY" 345779 "London Area Airports" 0 35
"13" "GATWICK" "HEATHROW" 0 "London Area Airports" 0 1
"14" "GATWICK" "HUMBERSIDE" 106 "London Area Airports" 0 37
"15" "GATWICK" "INVERNESS" 219320 "London Area Airports" 0 38
"16" "GATWICK" "ISLE OF MAN" 184173 "London Area Airports" 0 39
"17" "GATWICK" "JERSEY" 537414 "London Area Airports" 0 41
"18" "GATWICK" "LEEDS BRADFORD" 58 "London Area Airports" 0 44
"19" "GATWICK" "LIVERPOOL (JOHN LENNON)" 185 "London Area Airports" 0 46
"20" "GATWICK" "MANCHESTER" 41321 "London Area Airports" 0 47
"21" "GATWICK" "NEWCASTLE" 81813 "London Area Airports" 0 49
"22" "GATWICK" "NEWQUAY" 92609 "London Area Airports" 0 50
"23" "GATWICK" "NORWICH" 80 "London Area Airports" 0 51
"24" "HEATHROW" "ABERDEEN" 712184 "London Area Airports" 1 6
"25" "HEATHROW" "BELFAST CITY (GEORGE BEST)" 671941 "London Area Airports" 1 10
"26" "HEATHROW" "BELFAST INTERNATIONAL" 0 "London Area Airports" 1 11
"27" "HEATHROW" "DURHAM TEES VALLEY" 45 "London Area Airports" 1 24
"28" "HEATHROW" "EDINBURGH" 1355929 "London Area Airports" 1 27
"29" "HEATHROW" "GLASGOW" 869957 "London Area Airports" 1 33
"30" "HEATHROW" "LEEDS BRADFORD" 118717 "London Area Airports" 1 44
"31" "HEATHROW" "LIVERPOOL (JOHN LENNON)" 70 "London Area Airports" 1 46
"32" "HEATHROW" "MANCHESTER" 797263 "London Area Airports" 1 47
"33" "HEATHROW" "NEWCASTLE" 481307 "London Area Airports" 1 49
"34" "LONDON CITY" "ABERDEEN" 73150 "London Area Airports" 2 6
"35" "LONDON CITY" "DUNDEE" 26056 "London Area Airports" 2 23
"36" "LONDON CITY" "EDINBURGH" 333859 "London Area Airports" 2 27
"37" "LONDON CITY" "GLASGOW" 175373 "London Area Airports" 2 33
"38" "LONDON CITY" "ISLE OF MAN" 45149 "London Area Airports" 2 39
"39" "LONDON CITY" "JERSEY" 33738 "London Area Airports" 2 41
"40" "LUTON" "ABERDEEN" 82787 "London Area Airports" 3 6
"41" "LUTON" "BELFAST CITY (GEORGE BEST)" 16 "London Area Airports" 3 10
"42" "LUTON" "BELFAST INTERNATIONAL" 235528 "London Area Airports" 3 11
"43" "LUTON" "CARDIFF WALES" 209 "London Area Airports" 3 20
"44" "LUTON" "DONCASTER SHEFFIELD" 0 "London Area Airports" 3 22
"45" "LUTON" "DURHAM TEES VALLEY" 119 "London Area Airports" 3 24
"46" "LUTON" "EDINBURGH" 273474 "London Area Airports" 3 27
"47" "LUTON" "EXETER" 121 "London Area Airports" 3 28
"48" "LUTON" "FARNBOROUGH" 1 "London Area Airports" 3 30
"49" "LUTON" "GLASGOW" 280734 "London Area Airports" 3 33
"50" "LUTON" "HUMBERSIDE" 71 "London Area Airports" 3 37
"51" "LUTON" "INVERNESS" 91845 "London Area Airports" 3 38
"52" "LUTON" "ISLE OF MAN" 9318 "London Area Airports" 3 39
"53" "LUTON" "JERSEY" 8711 "London Area Airports" 3 41
"54" "LUTON" "LEEDS BRADFORD" 121 "London Area Airports" 3 44
"55" "LUTON" "LIVERPOOL (JOHN LENNON)" 115 "London Area Airports" 3 46
"56" "LUTON" "MANCHESTER" 184 "London Area Airports" 3 47
"57" "LUTON" "NEWCASTLE" 272 "London Area Airports" 3 49
"58" "LUTON" "NORWICH" 0 "London Area Airports" 3 51
"59" "LUTON" "OXFORD (KIDLINGTON)" 23 "London Area Airports" 3 53
"60" "LUTON" "STANSTED" 115 "London Area Airports" 3 5
"61" "SOUTHEND" "BELFAST INTERNATIONAL" 85604 "London Area Airports" 4 11
"62" "SOUTHEND" "EDINBURGH" 39063 "London Area Airports" 4 27
"63" "SOUTHEND" "JERSEY" 52768 "London Area Airports" 4 41
"64" "SOUTHEND" "NEWQUAY" 7448 "London Area Airports" 4 50
"65" "STANSTED" "BELFAST CITY (GEORGE BEST)" 806 "London Area Airports" 5 10
"66" "STANSTED" "BELFAST INTERNATIONAL" 297076 "London Area Airports" 5 11
"67" "STANSTED" "BIRMINGHAM" 0 "London Area Airports" 5 14
"68" "STANSTED" "CARDIFF WALES" 126 "London Area Airports" 5 20
"69" "STANSTED" "CITY OF DERRY (EGLINTON)" 130532 "London Area Airports" 5 21
"70" "STANSTED" "EDINBURGH" 326562 "London Area Airports" 5 27
"71" "STANSTED" "FARNBOROUGH" 0 "London Area Airports" 5 30
"72" "STANSTED" "GLASGOW" 308733 "London Area Airports" 5 33
"73" "STANSTED" "GUERNSEY" 24919 "London Area Airports" 5 35
