rundate,this_period,last_period,airport_group,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_scheduled_2001,total_pax_charter_2001,total_pax_2000,total_pax_scheduled_2000,total_pax_charter_2000,total_pax_percent_change
25/04/2002 12:53,2001,2000,London Area Airports,GATWICK,ABERDEEN,235825,235777,48,246009,246009,0,-4.139686108
25/04/2002 12:53,2001,2000,London Area Airports,GATWICK,BELFAST CITY,240891,240891,0,257079,257079,0,-6.296896935
25/04/2002 12:53,2001,2000,London Area Airports,GATWICK,BELFAST INTERNATIONAL,0,0,0,47,0,47,
25/04/2002 12:53,2001,2000,London Area Airports,GATWICK,BIRMINGHAM,155,0,155,0,0,0,
25/04/2002 12:53,2001,2000,London Area Airports,GATWICK,BOURNEMOUTH,8,0,8,62,0,62,-87.09677124
25/04/2002 12:53,2001,2000,London Area Airports,GATWICK,BRISTOL,14014,13979,35,13485,13480,5,3.922877312
25/04/2002 12:53,2001,2000,London Area Airports,GATWICK,BRIZE NORTON,9,0,9,0,0,0,
25/04/2002 12:53,2001,2000,London Area Airports,GATWICK,EDINBURGH,376614,376598,16,364442,364434,8,3.339900494
25/04/2002 12:53,2001,2000,London Area Airports,GATWICK,EXETER,24,24,0,28,28,0,-14.28571415
25/04/2002 12:53,2001,2000,London Area Airports,GATWICK,GATWICK,0,0,0,77,0,77,
25/04/2002 12:53,2001,2000,London Area Airports,GATWICK,GLASGOW,356450,356450,0,357909,357909,0,-0.407645524
25/04/2002 12:53,2001,2000,London Area Airports,GATWICK,GUERNSEY,307659,307659,0,315613,315428,185,-2.52017498
25/04/2002 12:53,2001,2000,London Area Airports,GATWICK,INVERNESS,150897,150883,14,156600,156598,2,-3.641762495
25/04/2002 12:53,2001,2000,London Area Airports,GATWICK,ISLE OF MAN,71,0,71,0,0,0,
25/04/2002 12:53,2001,2000,London Area Airports,GATWICK,JERSEY,509272,509129,143,398448,398153,295,27.81391716
25/04/2002 12:53,2001,2000,London Area Airports,GATWICK,KIRKWALL,0,0,0,100,0,100,
25/04/2002 12:53,2001,2000,London Area Airports,GATWICK,LEEDS BRADFORD,4480,4480,0,3,0,3,149233.3281
25/04/2002 12:53,2001,2000,London Area Airports,GATWICK,LIVERPOOL,27,0,27,30,0,30,-10
25/04/2002 12:53,2001,2000,London Area Airports,GATWICK,MANCHESTER,471446,470450,996,493224,492162,1062,-4.415438175
25/04/2002 12:53,2001,2000,London Area Airports,GATWICK,NEWCASTLE,199665,199637,28,198169,197988,181,0.754911184
25/04/2002 12:53,2001,2000,London Area Airports,GATWICK,NEWQUAY,59079,59079,0,61746,61746,0,-4.319308281
