rundate,this_period,last_period,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
15/04/05 14:21,2004,2003,London Area Airports,GATWICK,ABERDEEN,240021,240021,0,254669,254669,0,-5.751779556
15/04/05 14:21,2004,2003,London Area Airports,GATWICK,BELFAST CITY,210012,210012,0,239864,239796,68,-12.44538593
15/04/05 14:21,2004,2003,London Area Airports,GATWICK,BELFAST INTERNATIONAL,313521,313042,479,219460,219460,0,42.86020279
15/04/05 14:21,2004,2003,London Area Airports,GATWICK,BRISTOL,157,0,157,0,0,0,
15/04/05 14:21,2004,2003,London Area Airports,GATWICK,CARDIFF WALES,439,0,439,75,0,75,485.3333435
15/04/05 14:21,2004,2003,London Area Airports,GATWICK,EDINBURGH,739075,738759,316,771050,770486,564,-4.146942616
15/04/05 14:21,2004,2003,London Area Airports,GATWICK,GLASGOW,396536,396532,4,387840,387151,689,2.242161751
15/04/05 14:21,2004,2003,London Area Airports,GATWICK,GUERNSEY,333694,328240,5454,326893,326893,0,2.080497265
15/04/05 14:21,2004,2003,London Area Airports,GATWICK,INVERNESS,247828,247828,0,224472,224426,46,10.40486145
15/04/05 14:21,2004,2003,London Area Airports,GATWICK,ISLE OF MAN,129269,129269,0,121587,121587,0,6.318109512
15/04/05 14:21,2004,2003,London Area Airports,GATWICK,JERSEY,531234,531217,17,545313,544833,480,-2.581820011
15/04/05 14:21,2004,2003,London Area Airports,GATWICK,LEEDS BRADFORD,0,0,0,8392,8384,8,
15/04/05 14:21,2004,2003,London Area Airports,GATWICK,MANCHESTER,420456,419612,844,442020,437963,4057,-4.878512383
15/04/05 14:21,2004,2003,London Area Airports,GATWICK,NEWCASTLE,247074,246900,174,256387,256387,0,-3.632399559
15/04/05 14:21,2004,2003,London Area Airports,GATWICK,NEWQUAY,46910,46910,0,48349,48349,0,-2.976276636
15/04/05 14:21,2004,2003,London Area Airports,GATWICK,NOTTINGHAM EAST MIDLANDS INT'L,78,0,78,147,0,147,-46.93877411
15/04/05 14:21,2004,2003,London Area Airports,GATWICK,PLYMOUTH,60922,60922,0,57445,57445,0,6.052746296
15/04/05 14:21,2004,2003,London Area Airports,GATWICK,WICK,37,0,37,0,0,0,
15/04/05 14:21,2004,2003,London Area Airports,HEATHROW,ABERDEEN,623555,623555,0,507290,507290,0,22.91884232
15/04/05 14:21,2004,2003,London Area Airports,HEATHROW,BELFAST CITY,770055,770055,0,784822,784822,0,-1.8815732
15/04/05 14:21,2004,2003,London Area Airports,HEATHROW,BELFAST INTERNATIONAL,0,0,0,26835,26327,508,
15/04/05 14:21,2004,2003,London Area Airports,HEATHROW,BIRMINGHAM,0,0,0,198,0,198,
15/04/05 14:21,2004,2003,London Area Airports,HEATHROW,CARDIFF WALES,0,0,0,572,0,572,
15/04/05 14:21,2004,2003,London Area Airports,HEATHROW,DUNDEE,6,0,6,0,0,0,
15/04/05 14:21,2004,2003,London Area Airports,HEATHROW,DURHAM TEES VALLEY,144446,144446,0,145665,145665,0,-0.836851656
15/04/05 14:21,2004,2003,London Area Airports,HEATHROW,EDINBURGH,1696300,1696300,0,1661780,1661052,728,2.077290535
15/04/05 14:21,2004,2003,London Area Airports,HEATHROW,EXETER,75,0,75,2,0,2,3650
15/04/05 14:21,2004,2003,London Area Airports,HEATHROW,FAIRFORD,1360,0,1360,0,0,0,
15/04/05 14:21,2004,2003,London Area Airports,HEATHROW,FARNBOROUGH,5,0,5,0,0,0,
15/04/05 14:21,2004,2003,London Area Airports,HEATHROW,FILTON,0,0,0,100,0,100,
15/04/05 14:21,2004,2003,London Area Airports,HEATHROW,GLASGOW,1535570,1535570,0,1465222,1465188,34,4.801183701
15/04/05 14:21,2004,2003,London Area Airports,HEATHROW,GLOUCESTERSHIRE,0,0,0,4,0,4,
15/04/05 14:21,2004,2003,London Area Airports,HEATHROW,INVERNESS,46945,46945,0,0,0,0,
15/04/05 14:21,2004,2003,London Area Airports,HEATHROW,JERSEY,0,0,0,165,0,165,
15/04/05 14:21,2004,2003,London Area Airports,HEATHROW,LEEDS BRADFORD,184729,184729,0,181105,181015,90,2.001049042
15/04/05 14:21,2004,2003,London Area Airports,HEATHROW,MANCHESTER,1401546,1401546,0,1385220,1385007,213,1.17858541
15/04/05 14:21,2004,2003,London Area Airports,HEATHROW,NEWCASTLE,520361,520361,0,494685,494656,29,5.190373898
15/04/05 14:21,2004,2003,London Area Airports,HEATHROW,NOTTINGHAM EAST MIDLANDS INT'L,0,0,0,7,0,7,
15/04/05 14:21,2004,2003,London Area Airports,HEATHROW,OXFORD (KIDLINGTON),0,0,0,1,0,1,
15/04/05 14:21,2004,2003,London Area Airports,HEATHROW,PRESTWICK,7,0,7,0,0,0,
15/04/05 14:21,2004,2003,London Area Airports,HEATHROW,WATTISHAM,0,0,0,4,0,4,
15/04/05 14:21,2004,2003,London Area Airports,HEATHROW,WICK,2,0,2,25,0,25,-92
15/04/05 14:21,2004,2003,London Area Airports,LONDON CITY,ABERDEEN,0,0,0,1,0,1,
15/04/05 14:21,2004,2003,London Area Airports,LONDON CITY,BELFAST CITY,33940,33940,0,43325,43325,0,-21.6618576
