rundate,this_period,last_period,grp_cd,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
28/02/2012 15:55,2011,2010,A,London Area Airports,GATWICK,ABERDEEN,177765,177765,0,129948,129744,204,36.79702759
28/02/2012 15:55,2011,2010,A,London Area Airports,GATWICK,BELFAST CITY (GEORGE BEST),247907,247907,0,218943,218943,0,13.2290144
28/02/2012 15:55,2011,2010,A,London Area Airports,GATWICK,BELFAST INTERNATIONAL,341744,341744,0,296802,296466,336,15.14208126
28/02/2012 15:55,2011,2010,A,London Area Airports,GATWICK,BLACKPOOL,91,0,91,217,0,217,-58.06451797
28/02/2012 15:55,2011,2010,A,London Area Airports,GATWICK,CARDIFF WALES,35,0,35,0,0,0,
28/02/2012 15:55,2011,2010,A,London Area Airports,GATWICK,EAST MIDLANDS INTERNATIONAL,0,0,0,149,0,149,
28/02/2012 15:55,2011,2010,A,London Area Airports,GATWICK,EDINBURGH,669068,669068,0,604073,604001,72,10.7594614
28/02/2012 15:55,2011,2010,A,London Area Airports,GATWICK,GLASGOW,565787,565744,43,488774,488704,70,15.75636196
28/02/2012 15:55,2011,2010,A,London Area Airports,GATWICK,GUERNSEY,356368,356368,0,335937,335937,0,6.081795216
28/02/2012 15:55,2011,2010,A,London Area Airports,GATWICK,HUMBERSIDE,76,0,76,86,0,86,-11.6279068
28/02/2012 15:55,2011,2010,A,London Area Airports,GATWICK,INVERNESS,222737,222466,271,206837,206837,0,7.687212467
28/02/2012 15:55,2011,2010,A,London Area Airports,GATWICK,ISLE OF MAN,127097,127097,0,122159,122159,0,4.042272568
28/02/2012 15:55,2011,2010,A,London Area Airports,GATWICK,JERSEY,574113,574113,0,534303,534133,170,7.450828552
28/02/2012 15:55,2011,2010,A,London Area Airports,GATWICK,LEEDS BRADFORD,10001,10001,0,50617,50617,0,-80.24181366
28/02/2012 15:55,2011,2010,A,London Area Airports,GATWICK,LIVERPOOL (JOHN LENNON),208,0,208,40,0,40,420
28/02/2012 15:55,2011,2010,A,London Area Airports,GATWICK,MANCHESTER,232739,232263,476,246842,246522,320,-5.713371277
28/02/2012 15:55,2011,2010,A,London Area Airports,GATWICK,NEWCASTLE,95122,94969,153,97385,97345,40,-2.32376647
28/02/2012 15:55,2011,2010,A,London Area Airports,GATWICK,NEWQUAY,100902,100837,65,105968,105968,0,-4.780688286
28/02/2012 15:55,2011,2010,A,London Area Airports,GATWICK,NORWICH,37,0,37,0,0,0,
28/02/2012 15:55,2011,2010,A,London Area Airports,GATWICK,PLYMOUTH,2765,2765,0,55816,55816,0,-95.0462265
28/02/2012 15:55,2011,2010,A,London Area Airports,HEATHROW,ABERDEEN,652520,652520,0,617693,617693,0,5.638237953
28/02/2012 15:55,2011,2010,A,London Area Airports,HEATHROW,BELFAST CITY (GEORGE BEST),428611,428611,0,467826,467826,0,-8.382390022
28/02/2012 15:55,2011,2010,A,London Area Airports,HEATHROW,BELFAST INTERNATIONAL,289359,289359,0,284029,284029,0,1.876568913
