rundate,this_period,last_period,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_2002,total_pax_cht_2002,total_pax_2001,total_pax_shd_2001,total_pax_cht_2001,total_pax_percent_change
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,ABERDEEN,241050,241050,0,235825,235777,48,2.215626001
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,BELFAST CITY,286971,286971,0,240891,240891,0,19.12898445
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,BIRMINGHAM,0,0,0,155,0,155,
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,BLACKPOOL,47,0,47,0,0,0,
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,BOURNEMOUTH,15,0,15,8,0,8,87.5
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,BRISTOL,5253,5253,0,14014,13979,35,-62.51605606
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,BRIZE NORTON,0,0,0,9,0,9,
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,CARDIFF WALES,1568,0,1568,0,0,0,
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,EDINBURGH,679439,679428,11,376614,376598,16,80.40725708
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,EXETER,0,0,0,24,24,0,
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,GLASGOW,338463,337315,1148,356450,356450,0,-5.046149731
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,GUERNSEY,314017,314017,0,307659,307659,0,2.06657362
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,INVERNESS,158929,158852,77,150897,150883,14,5.322835922
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,ISLE OF MAN,85979,85979,0,71,0,71,120997.1797
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,JERSEY,534081,533672,409,509363,509220,143,4.85272789
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,LEEDS BRADFORD,35955,35931,24,4480,4480,0,702.5669556
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,LIVERPOOL,0,0,0,27,0,27,
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,LUTON,1,0,1,0,0,0,
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,MANCHESTER,426083,421914,4169,471446,470450,996,-9.622098923
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,NEWCASTLE,210832,210561,271,199665,199637,28,5.592867851
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,NEWQUAY,47637,47637,0,59079,59079,0,-19.36728859
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,PLYMOUTH,58553,58553,0,52428,52428,0,11.68268871
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,STANSTED,166,166,0,0,0,0,
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,TEESSIDE,0,0,0,23,0,23,
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,WADDINGTON,47,0,47,0,0,0,
31/03/2003 10:37,2002,2001,London Area Airports,GATWICK,WATTISHAM,82,0,82,0,0,0,
31/03/2003 10:37,2002,2001,London Area Airports,HEATHROW,ABERDEEN,514703,514703,0,476933,476933,0,7.919351578
31/03/2003 10:37,2002,2001,London Area Airports,HEATHROW,BELFAST CITY,670837,670837,0,99096,99096,0,576.956665
31/03/2003 10:37,2002,2001,London Area Airports,HEATHROW,BELFAST INTERNATIONAL,305043,304787,256,876083,876083,0,-65.1810379
31/03/2003 10:37,2002,2001,London Area Airports,HEATHROW,BLACKPOOL,0,0,0,60,0,60,
31/03/2003 10:37,2002,2001,London Area Airports,HEATHROW,CARDIFF WALES,736,0,736,0,0,0,
31/03/2003 10:37,2002,2001,London Area Airports,HEATHROW,DUNDEE,1,0,1,0,0,0,
31/03/2003 10:37,2002,2001,London Area Airports,HEATHROW,EDINBURGH,1603397,1603385,12,1576686,1576586,100,1.69412303
31/03/2003 10:37,2002,2001,London Area Airports,HEATHROW,FAIRFORD,680,0,680,0,0,0,
31/03/2003 10:37,2002,2001,London Area Airports,HEATHROW,FAIROAKS,14,0,14,0,0,0,
31/03/2003 10:37,2002,2001,London Area Airports,HEATHROW,GLASGOW,1448294,1448294,0,1388375,1388375,0,4.315764904
31/03/2003 10:37,2002,2001,London Area Airports,HEATHROW,INVERNESS,0,0,0,33,0,33,
31/03/2003 10:37,2002,2001,London Area Airports,HEATHROW,ISLE OF MAN,27635,27635,0,112959,112959,0,-75.53536987
31/03/2003 10:37,2002,2001,London Area Airports,HEATHROW,JERSEY,2,0,2,676,576,100,-99.70413971
