rundate,this_period,last_period,grp_cd,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
24/05/2013 10:18,2012,2011,A,London Area Airports,GATWICK,ABERDEEN,233921,233466,455,177765,177765,0,31.59002113
24/05/2013 10:18,2012,2011,A,London Area Airports,GATWICK,BELFAST CITY (GEORGE BEST),280503,280476,27,247907,247907,0,13.14847946
24/05/2013 10:18,2012,2011,A,London Area Airports,GATWICK,BELFAST INTERNATIONAL,353248,352707,541,341744,341744,0,3.366262436
24/05/2013 10:18,2012,2011,A,London Area Airports,GATWICK,BLACKPOOL,37,0,37,91,0,91,-59.3406601
24/05/2013 10:18,2012,2011,A,London Area Airports,GATWICK,CARDIFF WALES,76,0,76,35,0,35,117.1428604
24/05/2013 10:18,2012,2011,A,London Area Airports,GATWICK,DONCASTER SHEFFIELD,38,0,38,0,0,0,
24/05/2013 10:18,2012,2011,A,London Area Airports,GATWICK,EAST MIDLANDS INTERNATIONAL,145,145,0,0,0,0,
24/05/2013 10:18,2012,2011,A,London Area Airports,GATWICK,EDINBURGH,696791,696746,45,669068,669068,0,4.143525124
24/05/2013 10:18,2012,2011,A,London Area Airports,GATWICK,GLASGOW,607417,607163,254,565787,565744,43,7.357892513
24/05/2013 10:18,2012,2011,A,London Area Airports,GATWICK,GUERNSEY,344782,344782,0,356368,356368,0,-3.25113368
24/05/2013 10:18,2012,2011,A,London Area Airports,GATWICK,HEATHROW,35,0,35,0,0,0,
24/05/2013 10:18,2012,2011,A,London Area Airports,GATWICK,HUMBERSIDE,0,0,0,76,0,76,
24/05/2013 10:18,2012,2011,A,London Area Airports,GATWICK,INVERNESS,230442,230224,218,222737,222466,271,3.459236622
24/05/2013 10:18,2012,2011,A,London Area Airports,GATWICK,ISLE OF MAN,143466,143428,38,127097,127097,0,12.8791399
24/05/2013 10:18,2012,2011,A,London Area Airports,GATWICK,JERSEY,553962,553962,0,574113,574113,0,-3.509936094
24/05/2013 10:18,2012,2011,A,London Area Airports,GATWICK,LEEDS BRADFORD,177,0,177,10001,10001,0,-98.23017883
24/05/2013 10:18,2012,2011,A,London Area Airports,GATWICK,LIVERPOOL (JOHN LENNON),369,0,369,208,0,208,77.40384674
24/05/2013 10:18,2012,2011,A,London Area Airports,GATWICK,MANCHESTER,194568,193695,873,232739,232263,476,-16.40077591
24/05/2013 10:18,2012,2011,A,London Area Airports,GATWICK,NEWCASTLE,84319,84278,41,95122,94969,153,-11.35699463
24/05/2013 10:18,2012,2011,A,London Area Airports,GATWICK,NEWQUAY,96181,96181,0,100902,100837,65,-4.678797245
24/05/2013 10:18,2012,2011,A,London Area Airports,GATWICK,NORWICH,32,0,32,37,0,37,-13.51351357
24/05/2013 10:18,2012,2011,A,London Area Airports,GATWICK,PLYMOUTH,0,0,0,2765,2765,0,
24/05/2013 10:18,2012,2011,A,London Area Airports,HEATHROW,ABERDEEN,663809,663809,0,652520,652520,0,1.730061889
24/05/2013 10:18,2012,2011,A,London Area Airports,HEATHROW,BELFAST CITY (GEORGE BEST),499215,499215,0,428611,428611,0,16.4727459
24/05/2013 10:18,2012,2011,A,London Area Airports,HEATHROW,BELFAST INTERNATIONAL,191463,191463,0,289359,289359,0,-33.83202362
24/05/2013 10:18,2012,2011,A,London Area Airports,HEATHROW,BIRMINGHAM,0,0,0,45,0,45,
24/05/2013 10:18,2012,2011,A,London Area Airports,HEATHROW,CARDIFF WALES,0,0,0,64,0,64,
24/05/2013 10:18,2012,2011,A,London Area Airports,HEATHROW,EDINBURGH,1254993,1254933,60,1271459,1271299,160,-1.295047641
24/05/2013 10:18,2012,2011,A,London Area Airports,HEATHROW,GLASGOW,828531,828277,254,820949,820949,0,0.923565269
24/05/2013 10:18,2012,2011,A,London Area Airports,HEATHROW,LEEDS BRADFORD,5580,5580,0,0,0,0,
24/05/2013 10:18,2012,2011,A,London Area Airports,HEATHROW,LIVERPOOL (JOHN LENNON),70,0,70,144,0,144,-51.38888931
24/05/2013 10:18,2012,2011,A,London Area Airports,HEATHROW,MANCHESTER,792831,792592,239,766906,766718,188,3.380466461
24/05/2013 10:18,2012,2011,A,London Area Airports,HEATHROW,NEWCASTLE,489726,489513,213,473614,473614,0,3.401926517
24/05/2013 10:18,2012,2011,A,London Area Airports,LONDON CITY,ABERDEEN,15793,15793,0,29,29,0,54358.62109
24/05/2013 10:18,2012,2011,A,London Area Airports,LONDON CITY,DUNDEE,27872,27872,0,31632,31632,0,-11.88669682
24/05/2013 10:18,2012,2011,A,London Area Airports,LONDON CITY,EDINBURGH,322729,322729,0,344868,344868,0,-6.419557571
24/05/2013 10:18,2012,2011,A,London Area Airports,LONDON CITY,GLASGOW,158239,158239,0,149481,149481,0,5.858938694
24/05/2013 10:18,2012,2011,A,London Area Airports,LONDON CITY,ISLE OF MAN,38494,38494,0,46010,46010,0,-16.33557892
24/05/2013 10:18,2012,2011,A,London Area Airports,LONDON CITY,JERSEY,27691,27691,0,15923,15923,0,73.90567017
24/05/2013 10:18,2012,2011,A,London Area Airports,LUTON,ABERDEEN,119950,119950,0,147688,147688,0,-18.7814846
24/05/2013 10:18,2012,2011,A,London Area Airports,LUTON,BELFAST CITY (GEORGE BEST),0,0,0,80612,80612,0,
24/05/2013 10:18,2012,2011,A,London Area Airports,LUTON,BELFAST INTERNATIONAL,230104,229311,793,144451,143909,542,59.29553986
24/05/2013 10:18,2012,2011,A,London Area Airports,LUTON,BLACKPOOL,0,0,0,90,0,90,
24/05/2013 10:18,2012,2011,A,London Area Airports,LUTON,CARDIFF WALES,67,0,67,83,0,83,-19.27710915
24/05/2013 10:18,2012,2011,A,London Area Airports,LUTON,DONCASTER SHEFFIELD,11,0,11,0,0,0,
24/05/2013 10:18,2012,2011,A,London Area Airports,LUTON,DURHAM TEES VALLEY,89,0,89,28,0,28,217.8571472
24/05/2013 10:18,2012,2011,A,London Area Airports,LUTON,EDINBURGH,269797,269797,0,259408,259344,64,4.004888058
24/05/2013 10:18,2012,2011,A,London Area Airports,LUTON,EXETER,177,0,177,252,0,252,-29.76190567
24/05/2013 10:18,2012,2011,A,London Area Airports,LUTON,GLASGOW,276488,276278,210,274576,274486,90,0.696346343
24/05/2013 10:18,2012,2011,A,London Area Airports,LUTON,HUMBERSIDE,3,0,3,0,0,0,
24/05/2013 10:18,2012,2011,A,London Area Airports,LUTON,INVERNESS,88841,88841,0,99574,99444,130,-10.77891827
24/05/2013 10:18,2012,2011,A,London Area Airports,LUTON,ISLE OF MAN,18974,18974,0,23927,23902,25,-20.70046425
24/05/2013 10:18,2012,2011,A,London Area Airports,LUTON,JERSEY,16425,16425,0,16648,16648,0,-1.339500189
24/05/2013 10:18,2012,2011,A,London Area Airports,LUTON,LEEDS BRADFORD,63,0,63,0,0,0,
24/05/2013 10:18,2012,2011,A,London Area Airports,LUTON,LIVERPOOL (JOHN LENNON),277,0,277,53,0,53,422.64151
24/05/2013 10:18,2012,2011,A,London Area Airports,LUTON,MANCHESTER,365,0,365,260,0,260,40.38461685
24/05/2013 10:18,2012,2011,A,London Area Airports,LUTON,NEWCASTLE,609,0,609,167,0,167,264.6706543
24/05/2013 10:18,2012,2011,A,London Area Airports,LUTON,NORWICH,57,0,57,52,0,52,9.615385056
24/05/2013 10:18,2012,2011,A,London Area Airports,LUTON,WICK JOHN O GROATS,0,0,0,62,0,62,
24/05/2013 10:18,2012,2011,A,London Area Airports,SOUTHEND,BELFAST INTERNATIONAL,92502,92502,0,0,0,0,
24/05/2013 10:18,2012,2011,A,London Area Airports,SOUTHEND,JERSEY,35169,35169,0,2863,2863,0,1128.396729
24/05/2013 10:18,2012,2011,A,London Area Airports,STANSTED,ABERDEEN,0,0,0,49,0,49,
24/05/2013 10:18,2012,2011,A,London Area Airports,STANSTED,BELFAST CITY (GEORGE BEST),47341,47341,0,73123,73123,0,-35.25839996
24/05/2013 10:18,2012,2011,A,London Area Airports,STANSTED,BELFAST INTERNATIONAL,311454,311454,0,356523,356523,0,-12.64126015
24/05/2013 10:18,2012,2011,A,London Area Airports,STANSTED,BIRMINGHAM,2,0,2,29,0,29,-93.10344696
24/05/2013 10:18,2012,2011,A,London Area Airports,STANSTED,BRISTOL,0,0,0,76,0,76,
24/05/2013 10:18,2012,2011,A,London Area Airports,STANSTED,CITY OF DERRY (EGLINTON),134312,134312,0,131160,131160,0,2.403171778
24/05/2013 10:18,2012,2011,A,London Area Airports,STANSTED,EDINBURGH,346353,346353,0,390372,390272,100,-11.27616692
24/05/2013 10:18,2012,2011,A,London Area Airports,STANSTED,FARNBOROUGH,2,0,2,4,0,4,-50
24/05/2013 10:18,2012,2011,A,London Area Airports,STANSTED,GLASGOW,331607,331607,0,342785,342665,120,-3.26093626
24/05/2013 10:18,2012,2011,A,London Area Airports,STANSTED,GUERNSEY,28244,28244,0,30503,30503,0,-7.405828953
24/05/2013 10:18,2012,2011,A,London Area Airports,STANSTED,INVERNESS,134,0,134,200,0,200,-33
24/05/2013 10:18,2012,2011,A,London Area Airports,STANSTED,JERSEY,6141,6141,0,8059,8059,0,-23.79947853
24/05/2013 10:18,2012,2011,A,London Area Airports,STANSTED,LEEDS BRADFORD,338,338,0,0,0,0,
