"name","country"
"1","GATWICK","England"
"2","HEATHROW","England"
"3","LONDON CITY","England"
"4","LUTON","England"
"5","SOUTHEND","England"
"6","STANSTED","England"
"7","ABERDEEN","Scotland"
"8","ALDERNEY","Channel Islands"
"9","ANGLESEY (VALLEY)","Wales"
"10","BARRA","Scotland"
"11","BARROW-IN-FURNESS","England"
"12","BECCLES","England"
"13","BELFAST CITY (GEORGE BEST)","Northern Ireland"
"14","BELFAST INTERNATIONAL","Scotland"
"15","BEMBRIDGE","England"
"16","BENBECULA","Scotland"
"17","BIGGIN HILL","England"
"18","BIRMINGHAM","England"
"19","BLACKPOOL","England"
"20","BOURNEMOUTH","England"
"21","BRISTOL","England"
"22","CAMBRIDGE","England"
"23","CAMPBELTOWN","Scotland"
"24","CARDIFF WALES","Wales"
"25","CARLISLE","England"
"26","CITY OF DERRY (EGLINTON)","Northern Ireland"
"27","COVENTRY","England"
"28","CRANFIELD","England"
"29","DORNOCH","Scotland"
"30","DUNDEE","Scotland"
"31","DUNKESWELL","England"
"32","DURHAM TEES VALLEY","England"
"33","EAST MIDLANDS INTERNATIONAL","England"
"34","EDAY","Scotland"
"35","EDINBURGH","Scotland"
"36","EXETER","England"
"37","FAIR ISLE","Scotland"
"38","FAIROAKS","England"
"39","GLASGOW","Scotland"
"40","GLOUCESTERSHIRE","England"
"41","GUERNSEY","Channel Islands"
"42","HATFIELD","England"
"43","HUMBERSIDE","England"
"44","INVERNESS","Scotland"
"45","ISLAY","Scotland"
"46","ISLE OF MAN","Isle of Man"
"47","JERSEY","Channel Islands"
"48","KIRKWALL","Scotland"
"49","LEEDS BRADFORD","England"
"50","LIVERPOOL","England"
"51","LYDD","England"
"52","MANCHESTER","England"
"53","NEWCASTLE","England"
"54","NORTH RONALDSAY","Scotland"
"55","NORWICH","England"
"56","PRESTWICK","Scotland"
"57","PRIVATE STRIPS/HELIPADS","Private"
"58","SCATSTA","Scotland"
"59","STORNOWAY","Scotland"
"60","SUMBURGH","Scotland"
"61","NEWQUAY","England"
"62","PLYMOUTH","England"
"63","KENT INTERNATIONAL","England"
"64","LEUCHARS","Scotland"
"65","KINLOSS","Scotland"
"66","SOUTHAMPTON","England"
"67","FILTON","England"
"68","PENZANCE HELIPORT","England"
"69","WOODVALE","England"
"70","DOUNREAY","Scotland"
"71","FLOTTA","Scotland"
"72","ISLE OF SKYE","Scotland"
"73","PERTH (UK)","Scotland"
"74","PETERHEAD","Scotland"
"75","TIREE","Scotland"
"76","UNST","Scotland"
"77","WICK","Scotland"
"78","ST KILDA",""
"79","NORTHOLT","England"
"80","HAWARDEN","Wales"
"81","NORTH WEALD","England"
"82","LEEMING","England"
"83","LERWICK (TINGWALL)","Scotland"
"84","ISLES OF SCILLY (ST.MARYS)","England"
"85","LANDS END (ST JUST)","England"
"86","TOLLERTON NOTTINGHAM","England"
"87","PORTSMOUTH (UK)","England"
"88","WELLESBOURNE MOUNTFORD","England"
"89","SHOREHAM","England"
"90","PAPA WESTRAY","Scotland"
"91","SANDAY","Scotland"
"92","STRONSAY","Scotland"
"93","WESTRAY","Scotland"
"94","SANDOWN","England"
"95","SHAWBURY","Wales"
