"apt1_apt_name","apt2_apt_name","total_pax_tp","apt1_id","apt2_id"
"1","GATWICK","ABERDEEN",20.2289,0,6
"2","GATWICK","BELFAST CITY (GEORGE BEST)",12.1007,0,12
"3","GATWICK","BELFAST INTERNATIONAL",0.1964,0,13
"4","GATWICK","BIRMINGHAM",0.0088,0,18
"5","GATWICK","BOURNEMOUTH",0.0015,0,21
"6","GATWICK","CARDIFF WALES",0.022,0,25
"7","GATWICK","CITY OF DERRY (EGLINTON)",0.0223,0,27
"8","GATWICK","DURHAM TEES VALLEY",0.022,0,33
"9","GATWICK","EAST MIDLANDS INTERNATIONAL",2e-04,0,34
"10","GATWICK","EDINBURGH",18.9871,0,36
"11","GATWICK","GLASGOW",17.5984,0,40
"12","GATWICK","GUERNSEY",17.5218,0,42
"13","GATWICK","HUMBERSIDE",0,0,43
"14","GATWICK","ISLE OF MAN",0.0473,0,46
"15","GATWICK","JERSEY",24.9195,0,47
"16","GATWICK","LEEDS BRADFORD",0.2987,0,50
"17","GATWICK","LIVERPOOL",0.0029,0,51
"18","GATWICK","LUTON",0,0,3
"19","GATWICK","LYDD",2e-04,0,62
"20","GATWICK","MANCHESTER",21.2946,0,53
"21","GATWICK","NEWCASTLE",6.4292,0,54
"22","GATWICK","PLYMOUTH",0,0,63
"23","GATWICK","SOUTHEND",0,0,4
"24","GATWICK","STANSTED",6e-04,0,5
"25","HEATHROW","ABERDEEN",46.9604,1,6
"26","HEATHROW","BELFAST CITY (GEORGE BEST)",1.3763,1,12
"27","HEATHROW","BELFAST INTERNATIONAL",111.9614,1,13
"28","HEATHROW","BIRMINGHAM",7.081,1,18
"29","HEATHROW","CAMBRIDGE",0.004,1,23
"30","HEATHROW","CARDIFF WALES",0.0201,1,25
"31","HEATHROW","DURHAM TEES VALLEY",16.2322,1,33
"32","HEATHROW","EAST MIDLANDS INTERNATIONAL",0.0259,1,34
"33","HEATHROW","EDINBURGH",137.5202,1,36
"34","HEATHROW","GLASGOW",132.8511,1,40
"35","HEATHROW","GUERNSEY",7.9255,1,42
"36","HEATHROW","HUMBERSIDE",0.02,1,43
"37","HEATHROW","INVERNESS",16.9435,1,44
"38","HEATHROW","ISLE OF MAN",10.9269,1,46
"39","HEATHROW","JERSEY",28.1371,1,47
"40","HEATHROW","KENT INTERNATIONAL",0.04,1,48
"41","HEATHROW","LEEDS BRADFORD",17.8574,1,50
"42","HEATHROW","LEUCHARS",0.0132,1,64
"43","HEATHROW","LIVERPOOL",0.0237,1,51
"44","HEATHROW","MANCHESTER",92.8374,1,53
"45","HEATHROW","NEWCASTLE",38.9403,1,54
"46","HEATHROW","NEWQUAY",3.0304,1,65
"47","HEATHROW","PLYMOUTH",4.433,1,63
"48","HEATHROW","STANSTED",0,1,5
"49","HEATHROW","WICK",0.0052,1,61
"50","LONDON CITY","JERSEY",0,2,47
"51","LONDON CITY","LIVERPOOL",0.0033,2,51
"52","LONDON CITY","NEWCASTLE",0,2,54
"53","LUTON","BELFAST CITY (GEORGE BEST)",3.5737,3,12
"54","LUTON","BELFAST INTERNATIONAL",12.1833,3,13
"55","LUTON","CAMBRIDGE",2e-04,3,23
"56","LUTON","EDINBURGH",0,3,36
"57","LUTON","EXETER",0,3,37
"58","LUTON","GLASGOW",0.0096,3,40
"59","LUTON","ISLE OF MAN",1.6337,3,46
"60","LUTON","JERSEY",1.1681,3,47
"61","LUTON","LIVERPOOL",1e-04,3,51
"62","LUTON","MANCHESTER",0.004,3,53
"63","LUTON","NEWCASTLE",0.0196,3,54
"64","LUTON","SOUTHAMPTON",4e-04,3,59
"65","LUTON","SOUTHEND",0,3,4
"66","LUTON","STANSTED",0.0129,3,5
"67","SOUTHEND","CRANFIELD",0.0049,4,66
"68","SOUTHEND","DUXFORD",0.0052,4,67
"69","SOUTHEND","GLASGOW",0,4,40
"70","SOUTHEND","JERSEY",0.912,4,47
"71","SOUTHEND","LIVERPOOL",0,4,51
"72","SOUTHEND","MANCHESTER",0.0018,4,53
"73","SOUTHEND","NEWCASTLE",0.0066,4,54
"74","STANSTED","ABERDEEN",7.2473,5,6
"75","STANSTED","BELFAST INTERNATIONAL",5e-04,5,13
"76","STANSTED","BIRMINGHAM",0.0109,5,18
"77","STANSTED","BRISTOL",0,5,22
"78","STANSTED","CAMBRIDGE",0.0014,5,23
"79","STANSTED","CITY OF DERRY (EGLINTON)",0,5,27
"80","STANSTED","DUNDEE",0,5,31
"81","STANSTED","DURHAM TEES VALLEY",0.0063,5,33
"82","STANSTED","EAST MIDLANDS INTERNATIONAL",0.0025,5,34
"83","STANSTED","EDINBURGH",5.4099,5,36
"84","STANSTED","EXETER",0,5,37
"85","STANSTED","FILTON",0,5,39
"86","STANSTED","GLASGOW",11.5564,5,40
"87","STANSTED","GLOUCESTERSHIRE",0,5,41
"88","STANSTED","GUERNSEY",2.003,5,42
"89","STANSTED","HUMBERSIDE",0.0074,5,43
"90","STANSTED","ISLE OF MAN",0.0269,5,46
"91","STANSTED","JERSEY",3.9648,5,47
"92","STANSTED","LEEDS BRADFORD",0.0048,5,50
"93","STANSTED","LIVERPOOL",0.0138,5,51
"94","STANSTED","MANCHESTER",0.9828,5,53
"95","STANSTED","NEWCASTLE",2.222,5,54
"96","STANSTED","NORWICH",0,5,56
"97","STANSTED","SOUTHAMPTON",0.0137,5,59
"98","STANSTED","STORNOWAY",0,5,68
"99","STANSTED","SUMBURGH",0.0186,5,60
"100","ABERDEEN","ABERDEEN",0.0033,6,6
"101","ABERDEEN","BELFAST CITY (GEORGE BEST)",0.1094,6,12
"102","ABERDEEN","BELFAST INTERNATIONAL",0.2912,6,13
"103","ABERDEEN","BENBECULA",0.0012,6,15
"104","ABERDEEN","BIRMINGHAM",4.2684,6,18
"105","ABERDEEN","BRISTOL",0.9573,6,22
"106","ABERDEEN","CARDIFF WALES",0.6216,6,25
"107","ABERDEEN","COVENTRY",0,6,29
"108","ABERDEEN","DOUNREAY",0,6,69
"109","ABERDEEN","DUNDEE",0,6,31
"110","ABERDEEN","DURHAM TEES VALLEY",0.9193,6,33
"111","ABERDEEN","EAST MIDLANDS INTERNATIONAL",2.249,6,34
