"apt1_apt_name","apt2_apt_name","total_pax_tp","grp_name","apt1_id","apt2_id"
"1","GATWICK","ABERDEEN",17.3231,"London Area Airports",0,6
"2","GATWICK","BELFAST CITY (GEORGE BEST)",40.6464,"London Area Airports",0,10
"3","GATWICK","BELFAST INTERNATIONAL",38.5696,"London Area Airports",0,11
"4","GATWICK","BLACKPOOL",0.0099,"London Area Airports",0,15
"5","GATWICK","CARDIFF WALES",0.0041,"London Area Airports",0,20
"6","GATWICK","CITY OF DERRY (EGLINTON)",0.0203,"London Area Airports",0,21
"7","GATWICK","DONCASTER SHEFFIELD",0,"London Area Airports",0,22
"8","GATWICK","DURHAM TEES VALLEY",0.0073,"London Area Airports",0,24
"9","GATWICK","EAST MIDLANDS INTERNATIONAL",0,"London Area Airports",0,25
"10","GATWICK","EDINBURGH",69.3686,"London Area Airports",0,27
"11","GATWICK","GLASGOW",60.6263,"London Area Airports",0,33
"12","GATWICK","GUERNSEY",34.5779,"London Area Airports",0,35
"13","GATWICK","HEATHROW",0,"London Area Airports",0,1
"14","GATWICK","HUMBERSIDE",0.0106,"London Area Airports",0,37
"15","GATWICK","INVERNESS",21.932,"London Area Airports",0,38
"16","GATWICK","ISLE OF MAN",18.4173,"London Area Airports",0,39
"17","GATWICK","JERSEY",53.7414,"London Area Airports",0,41
"18","GATWICK","LEEDS BRADFORD",0.0058,"London Area Airports",0,44
"19","GATWICK","LIVERPOOL (JOHN LENNON)",0.0185,"London Area Airports",0,46
"20","GATWICK","MANCHESTER",4.1321,"London Area Airports",0,47
"21","GATWICK","NEWCASTLE",8.1813,"London Area Airports",0,49
"22","GATWICK","NEWQUAY",9.2609,"London Area Airports",0,50
"23","GATWICK","NORWICH",0.008,"London Area Airports",0,51
"24","HEATHROW","ABERDEEN",71.2184,"London Area Airports",1,6
"25","HEATHROW","BELFAST CITY (GEORGE BEST)",67.1941,"London Area Airports",1,10
"26","HEATHROW","BELFAST INTERNATIONAL",0,"London Area Airports",1,11
"27","HEATHROW","DURHAM TEES VALLEY",0.0045,"London Area Airports",1,24
"28","HEATHROW","EDINBURGH",135.5929,"London Area Airports",1,27
"29","HEATHROW","GLASGOW",86.9957,"London Area Airports",1,33
"30","HEATHROW","LEEDS BRADFORD",11.8717,"London Area Airports",1,44
"31","HEATHROW","LIVERPOOL (JOHN LENNON)",0.007,"London Area Airports",1,46
"32","HEATHROW","MANCHESTER",79.7263,"London Area Airports",1,47
"33","HEATHROW","NEWCASTLE",48.1307,"London Area Airports",1,49
"34","LONDON CITY","ABERDEEN",7.315,"London Area Airports",2,6
"35","LONDON CITY","DUNDEE",2.6056,"London Area Airports",2,23
"36","LONDON CITY","EDINBURGH",33.3859,"London Area Airports",2,27
"37","LONDON CITY","GLASGOW",17.5373,"London Area Airports",2,33
"38","LONDON CITY","ISLE OF MAN",4.5149,"London Area Airports",2,39
"39","LONDON CITY","JERSEY",3.3738,"London Area Airports",2,41
"40","LUTON","ABERDEEN",8.2787,"London Area Airports",3,6
"41","LUTON","BELFAST CITY (GEORGE BEST)",0.0016,"London Area Airports",3,10
"42","LUTON","BELFAST INTERNATIONAL",23.5528,"London Area Airports",3,11
"43","LUTON","CARDIFF WALES",0.0209,"London Area Airports",3,20
"44","LUTON","DONCASTER SHEFFIELD",0,"London Area Airports",3,22
"45","LUTON","DURHAM TEES VALLEY",0.0119,"London Area Airports",3,24
"46","LUTON","EDINBURGH",27.3474,"London Area Airports",3,27
"47","LUTON","EXETER",0.0121,"London Area Airports",3,28
"48","LUTON","FARNBOROUGH",1e-04,"London Area Airports",3,30
"49","LUTON","GLASGOW",28.0734,"London Area Airports",3,33
"50","LUTON","HUMBERSIDE",0.0071,"London Area Airports",3,37
"51","LUTON","INVERNESS",9.1845,"London Area Airports",3,38
"52","LUTON","ISLE OF MAN",0.9318,"London Area Airports",3,39
"53","LUTON","JERSEY",0.8711,"London Area Airports",3,41
"54","LUTON","LEEDS BRADFORD",0.0121,"London Area Airports",3,44
"55","LUTON","LIVERPOOL (JOHN LENNON)",0.0115,"London Area Airports",3,46
"56","LUTON","MANCHESTER",0.0184,"London Area Airports",3,47
"57","LUTON","NEWCASTLE",0.0272,"London Area Airports",3,49
"58","LUTON","NORWICH",0,"London Area Airports",3,51
"59","LUTON","OXFORD (KIDLINGTON)",0.0023,"London Area Airports",3,53
"60","LUTON","STANSTED",0.0115,"London Area Airports",3,5
"61","SOUTHEND","BELFAST INTERNATIONAL",8.5604,"London Area Airports",4,11
"62","SOUTHEND","EDINBURGH",3.9063,"London Area Airports",4,27
"63","SOUTHEND","JERSEY",5.2768,"London Area Airports",4,41
"64","SOUTHEND","NEWQUAY",0.7448,"London Area Airports",4,50
"65","STANSTED","BELFAST CITY (GEORGE BEST)",0.0806,"London Area Airports",5,10
"66","STANSTED","BELFAST INTERNATIONAL",29.7076,"London Area Airports",5,11
"67","STANSTED","BIRMINGHAM",0,"London Area Airports",5,14
"68","STANSTED","CARDIFF WALES",0.0126,"London Area Airports",5,20
"69","STANSTED","CITY OF DERRY (EGLINTON)",13.0532,"London Area Airports",5,21
"70","STANSTED","EDINBURGH",32.6562,"London Area Airports",5,27
"71","STANSTED","FARNBOROUGH",0,"London Area Airports",5,30
"72","STANSTED","GLASGOW",30.8733,"London Area Airports",5,33
"73","STANSTED","GUERNSEY",2.4919,"London Area Airports",5,35
"74","STANSTED","HUMBERSIDE",0.0099,"London Area Airports",5,37
"75","STANSTED","INVERNESS",0.0017,"London Area Airports",5,38
"76","STANSTED","JERSEY",0.3449,"London Area Airports",5,41
"77","STANSTED","LEEDS BRADFORD",0,"London Area Airports",5,44
