"","name","country"
"1","GATWICK","England"
"2","HEATHROW","England"
"3","LONDON CITY","England"
"4","LUTON","England"
"5","SOUTHEND","England"
"6","STANSTED","England"
"7","ABERDEEN","Scotland"
"8","ALDERNEY","Channel Islands"
"9","ANGLESEY (VALLEY)","Wales"
"10","BARRA","Scotland"
"11","BARROW-IN-FURNESS","England"
"12","BELFAST CITY (GEORGE BEST)","Northern Ireland"
"13","BELFAST INTERNATIONAL","Scotland"
"14","BENBECULA","Scotland"
"15","BIGGIN HILL","England"
"16","BIRMINGHAM","England"
"17","BLACKPOOL","England"
"18","BOURNEMOUTH","England"
"19","BRISTOL","England"
"20","CAMBRIDGE","England"
"21","CAMPBELTOWN","Scotland"
"22","CARDIFF WALES","Wales"
"23","CITY OF DERRY (EGLINTON)","Northern Ireland"
"24","COVENTRY","England"
"25","DONCASTER SHEFFIELD","England"
"26","DUNDEE","Scotland"
"27","DUNKESWELL","England"
"28","DURHAM TEES VALLEY","England"
"29","EAST MIDLANDS INTERNATIONAL","England"
"30","EDAY","Scotland"
"31","EDINBURGH","Scotland"
"32","EXETER","England"
"33","FAIR ISLE","Scotland"
"34","FARNBOROUGH","England"
"35","FILTON","England"
"36","FOULA","Scotland"
"37","GLASGOW","Scotland"
"38","GLOUCESTERSHIRE","England"
"39","GUERNSEY","Channel Islands"
"40","HUMBERSIDE","England"
"41","INVERNESS","Scotland"
"42","ISLE OF MAN","Isle of Man"
"43","ISLES OF SCILLY (ST.MARYS)","England"
"44","JERSEY","Channel Islands"
"45","KENT INTERNATIONAL","England"
"46","KIRKWALL","Scotland"
"47","LEEDS BRADFORD","England"
"48","LERWICK (TINGWALL)","Scotland"
"49","LIVERPOOL","England"
"50","MANCHESTER","England"
"51","NEWCASTLE","England"
"52","NEWQUAY","England"
"53","NORWICH","England"
"54","OBAN (NORTH CONNEL)","Scotland"
"55","SOUTH MARSTON","England"
"56","PLYMOUTH","England"
"57","PRESTWICK","Scotland"
"58","STORNOWAY","Scotland"
"59","SUMBURGH","Scotland"
"60","SCATSTA","Scotland"
"61","SOUTHAMPTON","England"
"62","WICK","Scotland"
"63","SHOREHAM","England"
"64","WARTON","England"
"65","ISLAY","Scotland"
"66","WATTISHAM","England"
"67","TIREE","Scotland"
"68","OXFORD (KIDLINGTON)","England"
"69","NORTH RONALDSAY","Scotland"
"70","PAPA WESTRAY","Scotland"
"71","SANDAY","Scotland"
"72","STRONSAY","Scotland"
"73","WESTRAY","Scotland"
"74","OUT SKERRIES","Scotland"
"75","PAPA STOUR","Scotland"
