"","apt1_apt_name","apt2_apt_name","total_pax_tp","apt1_id","apt2_id"
"1","GATWICK","ABERDEEN",17.3231,0,6
"2","GATWICK","BELFAST CITY (GEORGE BEST)",40.6464,0,10
"3","GATWICK","BELFAST INTERNATIONAL",38.5696,0,11
"4","GATWICK","BLACKPOOL",0.0099,0,15
"5","GATWICK","CARDIFF WALES",0.0041,0,20
"6","GATWICK","CITY OF DERRY (EGLINTON)",0.0203,0,21
"7","GATWICK","DONCASTER SHEFFIELD",0,0,22
"8","GATWICK","DURHAM TEES VALLEY",0.0073,0,24
"9","GATWICK","EAST MIDLANDS INTERNATIONAL",0,0,25
"10","GATWICK","EDINBURGH",69.3686,0,27
"11","GATWICK","GLASGOW",60.6263,0,33
"12","GATWICK","GUERNSEY",34.5779,0,35
"13","GATWICK","HEATHROW",0,0,1
"14","GATWICK","HUMBERSIDE",0.0106,0,37
"15","GATWICK","INVERNESS",21.932,0,38
"16","GATWICK","ISLE OF MAN",18.4173,0,39
"17","GATWICK","JERSEY",53.7414,0,41
"18","GATWICK","LEEDS BRADFORD",0.0058,0,44
"19","GATWICK","LIVERPOOL (JOHN LENNON)",0.0185,0,46
"20","GATWICK","MANCHESTER",4.1321,0,47
"21","GATWICK","NEWCASTLE",8.1813,0,49
"22","GATWICK","NEWQUAY",9.2609,0,50
"23","GATWICK","NORWICH",0.008,0,51
"24","HEATHROW","ABERDEEN",71.2184,1,6
"25","HEATHROW","BELFAST CITY (GEORGE BEST)",67.1941,1,10
"26","HEATHROW","BELFAST INTERNATIONAL",0,1,11
"27","HEATHROW","DURHAM TEES VALLEY",0.0045,1,24
"28","HEATHROW","EDINBURGH",135.5929,1,27
"29","HEATHROW","GLASGOW",86.9957,1,33
"30","HEATHROW","LEEDS BRADFORD",11.8717,1,44
"31","HEATHROW","LIVERPOOL (JOHN LENNON)",0.007,1,46
"32","HEATHROW","MANCHESTER",79.7263,1,47
"33","HEATHROW","NEWCASTLE",48.1307,1,49
"34","LONDON CITY","ABERDEEN",7.315,2,6
"35","LONDON CITY","DUNDEE",2.6056,2,23
"36","LONDON CITY","EDINBURGH",33.3859,2,27
"37","LONDON CITY","GLASGOW",17.5373,2,33
"38","LONDON CITY","ISLE OF MAN",4.5149,2,39
"39","LONDON CITY","JERSEY",3.3738,2,41
"40","LUTON","ABERDEEN",8.2787,3,6
"41","LUTON","BELFAST CITY (GEORGE BEST)",0.0016,3,10
"42","LUTON","BELFAST INTERNATIONAL",23.5528,3,11
"43","LUTON","CARDIFF WALES",0.0209,3,20
"44","LUTON","DONCASTER SHEFFIELD",0,3,22
"45","LUTON","DURHAM TEES VALLEY",0.0119,3,24
"46","LUTON","EDINBURGH",27.3474,3,27
"47","LUTON","EXETER",0.0121,3,28
"48","LUTON","FARNBOROUGH",1e-04,3,30
"49","LUTON","GLASGOW",28.0734,3,33
"50","LUTON","HUMBERSIDE",0.0071,3,37
"51","LUTON","INVERNESS",9.1845,3,38
"52","LUTON","ISLE OF MAN",0.9318,3,39
